用户ID,用户所在地,年龄,性别,权益
CUST_846967,齐齐哈尔市,31,男,普通
CUST_921290,黔南布依族苗族自治州,35,女,普通
CUST_762276,清远市,53,女,会员
CUST_535539,福州市,26,女,会员
CUST_276601,锦州市,32,女,会员
CUST_961311,河北区,46,女,普通
CUST_920542,柳州市,42,男,会员
CUST_276819,长沙市,30,女,普通
CUST_167977,合肥市,32,女,会员
CUST_826823,西青区,54,女,普通
CUST_598148,长春市,55,女,会员
CUST_710261,阿克苏市,61,女,会员
CUST_848117,丰台区,43,女,会员
CUST_721687,深水埗区,40,女,普通
CUST_649797,温州市,49,男,会员
CUST_779098,安顺市,47,女,会员
CUST_959797,江北区,25,男,普通
CUST_332134,齐齐哈尔市,41,女,会员
CUST_420131,果洛藏族自治州,23,男,普通
CUST_425481,日照市,57,男,会员
CUST_191402,桂林市,36,女,会员
CUST_615081,桃园市,44,男,会员
CUST_705527,张掖市,32,男,普通
CUST_822501,朔州市,48,女,普通
CUST_328597,舟山市,34,女,会员
CUST_249017,萍乡市,20,男,普通
CUST_646805,池州市,34,女,普通
CUST_735241,北区,32,女,普通
CUST_518135,奉贤区,47,女,普通
CUST_916124,哈密市,49,女,普通
CUST_301614,青岛市,43,男,会员
CUST_879333,西城区,37,男,会员
CUST_282313,娄底市,47,女,普通
CUST_689851,沙坪坝区,44,女,会员
CUST_888668,驻马店市,39,女,会员
CUST_351640,商丘市,26,女,普通
CUST_499983,临沧市,46,女,会员
CUST_645497,阿里地区,27,女,会员
CUST_570398,阿克苏市,54,女,普通
CUST_807821,黄山市,25,女,普通
CUST_173137,巴中市,48,男,普通
CUST_923744,佛山市,46,女,普通
CUST_696124,台州市,45,女,会员
CUST_559503,西青区,32,男,会员
CUST_892278,内江市,53,男,会员
CUST_264251,梅州市,32,男,会员
CUST_328083,林芝市,133,女,普通
CUST_565449,观塘区,43,女,普通
CUST_943154,闵行区,37,男,普通
CUST_805825,揭阳市,40,男,普通
CUST_999984,延边朝鲜族自治州,35,男,会员
CUST_379949,遂宁市,48,女,会员
CUST_763572,克拉玛依市,54,男,会员
CUST_306908,普陀区,50,男,会员
CUST_343748,绥化市,35,女,会员
CUST_968112,永川区,41,女,会员
CUST_250185,杭州市,29,男,普通
CUST_934772,宝坻区,32,男,普通
CUST_950361,平谷区,56,男,普通
CUST_949887,盘锦市,18,男,普通
CUST_896437,南昌市,36,男,会员
CUST_839036,呼伦贝尔市,46,女,普通
CUST_473205,长治市,12,男,普通
CUST_941533,巴南区,26,女,普通
CUST_824530,孝感市,45,女,普通
CUST_415326,宁德市,20,男,会员
CUST_928694,苏州市,41,男,普通
CUST_755658,玉溪市,34,男,会员
CUST_407668,芜湖市,36,男,会员
CUST_399845,鄂尔多斯市,61,女,普通
CUST_341428,梧州市,23,男,会员
CUST_232282,大同市,31,,普通
CUST_247901,信阳市,40,男,普通
CUST_840935,石嘴山市,32,女,普通
CUST_253675,永川区,39,女,会员
CUST_974944,永川区,32,男,会员
CUST_847082,南京市,54,女,会员
CUST_524347,西城区,32,女,普通
CUST_436499,葫芦岛市,33,男,会员
CUST_575618,新北市,27,女,会员
CUST_463797,辽源市,33,男,普通
CUST_933337,文山壮族苗族自治州,35,男,普通
CUST_949630,阿拉善盟,46,女,普通
CUST_122683,延庆区,28,女,会员
CUST_941455,营口市,37,女,普通
CUST_215474,油尖旺区,39,男,会员
CUST_120282,温州市,30,男,普通
CUST_217363,杨浦区,28,男,会员
CUST_394554,中卫市,37,女,普通
CUST_450965,未知,40,女,普通
CUST_694273,未知,31,男,会员
CUST_790113,许昌市,7,女,普通
CUST_939977,静海区,37,女,普通
CUST_921797,忻州市,40,女,普通
CUST_741324,莆田市,40,男,会员
CUST_383636,望德堂区,41,女,普通
CUST_661842,徐汇区,37,男,会员
CUST_883987,庆阳市,57,女,普通
CUST_791011,金昌市,20,女,普通
CUST_246401,邢台市,44,男,普通
CUST_265621,林芝市,19,男,普通
CUST_778578,中卫市,30,女,会员
CUST_841531,崇明区,34,男,会员
CUST_951692,铜梁区,31,男,会员
CUST_294110,琼中黎族苗族自治县,53,女,会员
CUST_724606,金昌市,28,男,普通
CUST_625464,静海区,40,男,普通
CUST_457165,淄博市,41,女,会员
CUST_418890,莱芜市,25,女,普通
CUST_948474,松江区,37,女,普通
CUST_306027,泸州市,44,男,会员
CUST_610462,三沙市,56,男,普通
CUST_266281,上饶市,38,男,会员
CUST_521281,石家庄市,17,男,普通
CUST_726246,张家口市,35,男,会员
CUST_171383,西安市,49,男,会员
CUST_920631,新乡市,27,女,会员
CUST_228515,石景山区,37,女,会员
CUST_305621,石嘴山市,48,女,普通
CUST_911159,绥化市,47,女,会员
CUST_873486,济源市,31,男,普通
CUST_716085,石嘴山市,39,男,普通
CUST_383952,盘锦市,28,男,普通
CUST_199290,安庆市,44,男,会员
CUST_320999,黄石市,51,女,会员
CUST_690358,中卫市,46,男,普通
CUST_205163,东营市,32,男,普通
CUST_259082,南京市,33,女,会员
CUST_828370,海东市,34,女,普通
CUST_964115,巴彦淖尔市,41,男,普通
CUST_740487,濮阳市,26,女,会员
CUST_213089,钦州市,29,女,会员
CUST_200395,河东区,31,男,普通
CUST_256066,南宁市,35,男,普通
CUST_892322,雅安市,26,女,普通
CUST_731339,綦江区,53,女,会员
CUST_962312,池州市,28,男,普通
CUST_708103,基隆市,38,女,会员
CUST_235944,渝中区,30,女,会员
CUST_788459,淄博市,42,女,普通
CUST_838825,观塘区,34,男,会员
CUST_246817,台北市,35,男,普通
CUST_841763,河池市,28,女,普通
CUST_891668,阜新市,56,女,会员
CUST_228195,林芝市,31,男,普通
CUST_380770,花地玛堂区,52,男,普通
CUST_458881,涪陵区,57,男,普通
CUST_433549,芜湖市,20,男,普通
CUST_239078,衡水市,58,女,普通
CUST_456090,镇江市,44,女,会员
CUST_653378,邯郸市,42,女,会员
CUST_398908,徐州市,53,女,普通
CUST_949892,东方市,40,女,普通
CUST_246368,油尖旺区,41,女,普通
CUST_939332,金山区,64,女,普通
CUST_495490,佳木斯市,27,男,会员
CUST_445344,常州市,24,女,普通
CUST_691072,娄底市,25,女,普通
CUST_537027,广元市,34,男,普通
CUST_745334,贵阳市,50,男,普通
CUST_198824,海口市,37,男,会员
CUST_738346,屯昌县,27,男,普通
CUST_222398,萍乡市,49,男,会员
CUST_380185,武威市,42,女,会员
CUST_619174,河池市,29,女,会员
CUST_958457,景德镇市,47,女,会员
CUST_481168,阿勒泰地区,37,女,会员
CUST_982247,宁河区,21,男,会员
CUST_636044,常州市,28,女,会员
CUST_781643,安阳市,58,女,普通
CUST_253922,昆明市,39,男,会员
CUST_714603,临夏回族自治州,133,男,会员
CUST_478147,乌兰察布市,48,女,普通
CUST_534931,朝阳市,50,男,普通
CUST_192616,资阳市,46,女,会员
CUST_967502,长春市,38,女,普通
CUST_880900,屯门区,28,女,普通
CUST_669003,呼和浩特市,39,男,普通
CUST_409854,临沂市,41,男,会员
CUST_426282,绥化市,51,女,会员
CUST_132163,南昌市,43,女,普通
CUST_479360,宣城市,25,女,会员
CUST_524502,六安市,45,男,普通
CUST_966522,贵阳市,68,女,普通
CUST_201792,台州市,9,女,普通
CUST_845754,潍坊市,45,男,会员
CUST_740591,廊坊市,41,男,会员
CUST_377182,武威市,29,男,普通
CUST_162599,南阳市,47,男,会员
CUST_496354,临夏回族自治州,40,男,会员
CUST_905209,阿坝藏族羌族自治州,21,女,普通
CUST_256023,萍乡市,30,女,普通
CUST_536647,漳州市,48,男,普通
CUST_415728,密云区,44,女,普通
CUST_316170,郑州市,34,男,会员
CUST_941839,苏州市,51,男,普通
CUST_334121,丰台区,50,男,普通
CUST_559876,徐州市,31,女,普通
CUST_269442,肇庆市,38,女,普通
CUST_961897,河东区,29,女,会员
CUST_426934,西青区,50,男,普通
CUST_511488,成都市,37,女,普通
CUST_694280,宜宾市,13,女,普通
CUST_341829,七台河市,37,女,会员
CUST_220719,郴州市,40,男,会员
CUST_701615,濮阳市,133,男,会员
CUST_626369,邵阳市,50,男,会员
CUST_105074,漳州市,32,女,会员
CUST_657715,喀什市,36,男,普通
CUST_571390,凉山彝族自治州,34,女,会员
CUST_317020,江北区,7,男,会员
CUST_500350,西双版纳傣族自治州,29,男,会员
CUST_754576,贺州市,42,男,普通
CUST_699910,攀枝花市,50,男,普通
CUST_845107,巴彦淖尔市,30,女,普通
CUST_836115,果洛藏族自治州,30,女,普通
CUST_641086,丰台区,24,女,会员
CUST_774538,琼中黎族苗族自治县,37,男,普通
CUST_579383,林芝市,39,男,普通
CUST_381394,西安市,26,男,普通
CUST_189470,西城区,51,女,普通
CUST_623285,邵阳市,56,男,普通
CUST_445891,达州市,35,男,会员
CUST_508944,嘉峪关市,36,女,普通
CUST_174742,梧州市,41,女,会员
CUST_114265,鹤壁市,7,女,普通
CUST_833584,静海区,31,女,普通
CUST_152198,临夏回族自治州,41,,普通
CUST_286375,黔江区,39,男,普通
CUST_932482,大连市,50,女,会员
CUST_801608,青岛市,34,男,会员
CUST_371502,北辰区,41,女,普通
CUST_139378,枣庄市,40,女,会员
CUST_223654,焦作市,50,男,普通
CUST_295925,崇明区,33,男,普通
CUST_210355,深圳市,55,女,会员
CUST_566973,朝阳区,21,女,会员
CUST_713017,伊犁哈萨克自治州,33,男,普通
CUST_801649,金华市,43,男,会员
CUST_952067,文昌市,44,男,普通
CUST_546321,未知,25,男,普通
CUST_688921,渝中区,28,男,普通
CUST_576571,万宁市,40,女,会员
CUST_199368,铜梁区,47,女,会员
CUST_801191,松原市,38,男,普通
CUST_624794,台北市,45,女,会员
CUST_132874,澄迈县,40,男,普通
CUST_479448,虹口区,30,女,普通
CUST_900811,丰台区,61,女,会员
CUST_505574,漯河市,42,女,会员
CUST_918599,绍兴市,30,女,会员
CUST_229244,未知,49,女,普通
CUST_200973,唐山市,39,女,普通
CUST_311215,通辽市,34,男,会员
CUST_189008,齐齐哈尔市,45,女,会员
CUST_374975,株洲市,28,男,普通
CUST_390128,随州市,46,女,会员
CUST_262204,宿州市,29,女,会员
CUST_335284,文昌市,23,女,普通
CUST_827505,怀化市,27,女,会员
CUST_538349,江门市,49,女,会员
CUST_288280,绍兴市,31,,会员
CUST_622091,泰安市,31,女,普通
CUST_627749,阜阳市,29,,普通
CUST_898692,广元市,50,女,会员
CUST_485988,阳江市,22,男,普通
CUST_315421,新北市,43,女,普通
CUST_312457,平凉市,43,男,普通
CUST_240278,门头沟区,44,男,普通
CUST_448107,庆阳市,53,男,普通
CUST_926299,阿拉善盟,36,女,普通
CUST_728920,蚌埠市,33,女,普通
CUST_154602,宁德市,50,女,普通
CUST_595341,万宁市,60,女,会员
CUST_144163,贵港市,40,男,普通
CUST_880866,虹口区,31,男,普通
CUST_203729,邯郸市,46,女,会员
CUST_320442,江北区,40,女,普通
CUST_239609,海淀区,17,女,会员
CUST_674517,晋城市,24,男,会员
CUST_938854,南平市,41,女,会员
CUST_829242,沙田区,42,男,普通
CUST_975652,平凉市,40,女,会员
CUST_564689,南京市,23,男,普通
CUST_467448,长寿区,49,男,普通
CUST_895842,清远市,47,女,普通
CUST_899779,果洛藏族自治州,52,女,普通
CUST_652485,青浦区,19,男,普通
CUST_724856,抚州市,44,男,会员
CUST_460714,雅安市,31,女,普通
CUST_904792,益阳市,31,男,普通
CUST_459177,南京市,31,男,会员
CUST_644199,云浮市,47,男,普通
CUST_271705,阿拉善盟,45,女,会员
CUST_512843,河池市,31,,会员
CUST_606973,乐东黎族自治县,25,女,会员
CUST_721183,淮安市,52,女,普通
CUST_773932,连云港市,30,男,普通
CUST_831399,泰安市,71,女,普通
CUST_730582,大渡口区,37,女,会员
CUST_857014,六安市,40,女,普通
CUST_702027,屯门区,50,女,普通
CUST_724164,信阳市,40,女,普通
CUST_133182,璧山区,53,男,普通
CUST_435799,琼海市,34,女,会员
CUST_260095,张家界市,36,女,普通
CUST_832119,新余市,37,女,会员
CUST_801088,中西区,40,男,普通
CUST_183982,蚌埠市,42,女,会员
CUST_701428,永川区,47,女,会员
CUST_556030,大理白族自治州,18,男,会员
CUST_432319,渝北区,37,男,会员
CUST_698831,静安区,45,男,普通
CUST_661386,汕尾市,41,女,普通
CUST_833269,连云港市,43,女,会员
CUST_708367,昌吉回族自治州,31,女,普通
CUST_143942,乌鲁木齐市,35,女,会员
CUST_214628,黄大仙区,64,男,会员
CUST_938520,乌兰察布市,32,男,会员
CUST_378823,白城市,41,女,普通
CUST_938027,湖州市,46,男,普通
CUST_173571,六安市,38,男,会员
CUST_474585,泰安市,49,女,会员
CUST_780574,东营市,27,女,普通
CUST_181337,南岸区,31,女,会员
CUST_358581,未知,133,男,会员
CUST_228991,揭阳市,51,男,普通
CUST_613160,武威市,23,男,普通
CUST_313808,佛山市,45,男,会员
CUST_621874,长宁区,25,男,普通
CUST_541947,莆田市,30,男,会员
CUST_521664,阿克苏市,50,男,普通
CUST_510788,崇左市,28,女,普通
CUST_416686,吉安市,34,男,会员
CUST_773839,阜新市,47,女,普通
CUST_103692,遵义市,42,女,普通
CUST_663769,西青区,31,女,会员
CUST_617231,唐山市,133,女,普通
CUST_986477,十堰市,53,女,会员
CUST_641976,兰州市,46,男,普通
CUST_556142,大兴安岭地区,46,男,普通
CUST_846710,临夏回族自治州,41,女,普通
CUST_188578,潼南区,52,女,普通
CUST_946215,岳阳市,44,男,会员
CUST_840742,漳州市,66,男,会员
CUST_212910,汕尾市,43,男,会员
CUST_419507,儋州市,28,女,会员
CUST_175004,基隆市,44,女,会员
CUST_641032,宜昌市,47,男,普通
CUST_783443,江津区,40,男,普通
CUST_435152,未知,55,女,普通
CUST_805020,营口市,41,男,普通
CUST_269394,忻州市,48,男,会员
CUST_928923,滨州市,40,男,普通
CUST_981033,岳阳市,27,男,会员
CUST_278600,烟台市,31,男,普通
CUST_869247,廊坊市,53,男,会员
CUST_367336,福州市,40,女,会员
CUST_638324,江北区,44,女,会员
CUST_596419,南通市,28,女,会员
CUST_324664,文昌市,38,男,会员
CUST_487064,保定市,36,女,会员
CUST_444893,无锡市,25,男,普通
CUST_553550,泸州市,42,男,会员
CUST_471394,新竹市,30,女,会员
CUST_823486,临夏回族自治州,28,男,普通
CUST_267854,西青区,37,女,会员
CUST_169962,平凉市,28,男,会员
CUST_649769,大堂区,27,男,普通
CUST_165469,日喀则市,41,女,普通
CUST_743365,泰州市,51,女,会员
CUST_468145,未知,28,男,会员
CUST_975517,安庆市,39,女,普通
CUST_932567,荃湾区,42,男,会员
CUST_604818,宿州市,49,男,会员
CUST_977801,渝中区,24,女,会员
CUST_805795,惠州市,28,男,会员
CUST_486434,萍乡市,35,男,会员
CUST_355424,宿州市,38,男,普通
CUST_169415,永川区,27,男,普通
CUST_172457,眉山市,36,男,普通
CUST_498103,西宁市,48,男,普通
CUST_584733,青岛市,45,男,会员
CUST_144227,济南市,42,女,普通
CUST_486352,宿州市,31,男,会员
CUST_412548,杭州市,32,男,会员
CUST_177601,闵行区,45,女,普通
CUST_363716,安阳市,34,男,普通
CUST_134445,海口市,37,女,普通
CUST_418160,合川区,133,男,会员
CUST_482258,涪陵区,45,女,普通
CUST_693641,毕节市,52,女,会员
CUST_403066,呼伦贝尔市,36,男,会员
CUST_626036,西青区,39,女,会员
CUST_474326,兴安盟,43,男,会员
CUST_498739,未知,29,女,会员
CUST_430049,驻马店市,29,女,会员
CUST_927652,台中市,36,男,会员
CUST_303000,漯河市,60,男,普通
CUST_891345,九江市,34,女,普通
CUST_314585,克拉玛依市,36,女,会员
CUST_695914,怒江傈僳族自治州,47,男,普通
CUST_720896,杭州市,28,男,会员
CUST_900792,澄迈县,40,男,普通
CUST_531601,榆林市,46,女,会员
CUST_546554,未知,40,女,普通
CUST_647182,怀柔区,24,女,普通
CUST_396768,宝坻区,36,女,会员
CUST_194664,昌吉回族自治州,39,女,会员
CUST_186424,莆田市,30,男,会员
CUST_206395,朔州市,38,男,普通
CUST_321551,芜湖市,35,女,会员
CUST_855198,漳州市,45,男,会员
CUST_758276,辽源市,36,女,会员
CUST_607366,新乡市,42,女,会员
CUST_271647,朔州市,44,男,会员
CUST_124908,未知,41,男,普通
CUST_479780,邢台市,51,女,普通
CUST_145456,山南市,33,女,普通
CUST_543527,未知,53,女,普通
CUST_259615,路凼填海区,34,女,普通
CUST_858261,吕梁市,39,男,普通
CUST_333955,临沧市,45,女,会员
CUST_413178,中卫市,52,男,普通
CUST_720573,白银市,44,女,会员
CUST_178809,张掖市,57,女,普通
CUST_813096,龙岩市,37,男,普通
CUST_204582,商洛市,28,女,普通
CUST_198869,文昌市,26,女,会员
CUST_399167,北辰区,52,女,普通
CUST_869939,塔城地区,50,男,会员
CUST_500902,未知,22,男,会员
CUST_914132,连云港市,54,女,会员
CUST_670617,乐东黎族自治县,28,女,普通
CUST_628578,玉溪市,23,男,普通
CUST_689691,太原市,46,男,会员
CUST_685837,东莞市,47,男,会员
CUST_229584,望德堂区,46,女,普通
CUST_955963,汕尾市,53,女,普通
CUST_657542,青岛市,38,男,会员
CUST_932834,达州市,34,男,普通
CUST_911448,蚌埠市,29,女,会员
CUST_935573,昌都市,47,女,会员
CUST_529614,漯河市,44,女,普通
CUST_897210,包头市,42,女,会员
CUST_702565,常州市,52,女,普通
CUST_309316,贺州市,46,男,会员
CUST_225138,朝阳区,44,女,普通
CUST_609361,宜昌市,21,女,会员
CUST_690139,巴南区,48,女,会员
CUST_549128,抚顺市,44,男,普通
CUST_935226,赣州市,28,女,会员
CUST_591991,昌平区,40,男,普通
CUST_946750,洛阳市,34,女,普通
CUST_774903,和平区,58,女,普通
CUST_996957,内江市,42,男,普通
CUST_234858,德宏傣族景颇族自治州,33,女,会员
CUST_354486,九江市,50,男,普通
CUST_530786,萍乡市,36,女,会员
CUST_622326,铜仁市,53,女,会员
CUST_612219,吉林市,20,女,会员
CUST_199978,海口市,25,男,会员
CUST_550636,潼南区,31,男,会员
CUST_105744,黔西南布依族苗族自治州,47,女,会员
CUST_552998,濮阳市,40,女,会员
CUST_302320,綦江区,50,男,会员
CUST_398661,雅安市,40,男,会员
CUST_183392,徐州市,39,女,普通
CUST_539632,本溪市,43,女,会员
CUST_138146,河东区,37,男,普通
CUST_221108,未知,39,男,会员
CUST_356314,滨海新区,29,女,普通
CUST_542402,常德市,58,女,会员
CUST_500003,海东市,34,女,会员
CUST_393390,鹤壁市,56,男,普通
CUST_939228,运城市,34,男,会员
CUST_830899,中山市,56,男,普通
CUST_806868,博尔塔拉蒙古自治州,37,女,普通
CUST_887894,广州市,40,男,普通
CUST_835959,绵阳市,28,,会员
CUST_261404,屯昌县,50,男,普通
CUST_673191,濮阳市,28,女,普通
CUST_953627,博尔塔拉蒙古自治州,7,女,普通
CUST_150261,南充市,51,男,普通
CUST_967861,营口市,7,男,会员
CUST_132907,大堂区,46,男,会员
CUST_745663,花地玛堂区,37,女,普通
CUST_445740,东区,43,女,会员
CUST_375880,洛阳市,30,女,会员
CUST_588170,安庆市,29,女,普通
CUST_236702,临沧市,50,女,会员
CUST_400221,江津区,27,女,普通
CUST_976789,延安市,37,女,普通
CUST_533367,怀柔区,43,女,普通
CUST_736037,淮南市,40,男,普通
CUST_787397,丰台区,48,女,普通
CUST_292874,静海区,25,女,普通
CUST_805587,锡林郭勒盟,43,女,会员
CUST_938450,长寿区,54,女,会员
CUST_577233,烟台市,32,女,会员
CUST_288827,永川区,27,男,普通
CUST_865064,雅安市,31,男,会员
CUST_881453,鹤岗市,47,男,会员
CUST_192932,大理白族自治州,31,女,会员
CUST_840299,高雄市,35,男,会员
CUST_607058,阿坝藏族羌族自治州,34,女,会员
CUST_605142,鹤岗市,40,男,普通
CUST_368041,合川区,36,女,会员
CUST_958154,株洲市,34,女,会员
CUST_672394,通化市,32,男,会员
CUST_322580,广元市,19,女,会员
CUST_820978,津南区,33,女,会员
CUST_591218,那曲市,49,女,会员
CUST_377919,阜阳市,36,男,普通
CUST_671552,钦州市,133,女,会员
CUST_327139,西城区,36,女,普通
CUST_494389,金华市,26,男,会员
CUST_567247,铜梁区,25,男,会员
CUST_593633,襄阳市,32,女,普通
CUST_102501,怀柔区,36,男,会员
CUST_582573,澄迈县,39,男,会员
CUST_163727,渝中区,39,女,会员
CUST_344807,甘南藏族自治州,49,女,普通
CUST_557083,齐齐哈尔市,18,女,普通
CUST_104996,大足区,56,男,普通
CUST_372698,长寿区,45,男,会员
CUST_455591,抚州市,47,女,会员
CUST_695554,未知,49,女,会员
CUST_881921,鞍山市,50,女,普通
CUST_472622,泸州市,32,女,会员
CUST_688946,西安市,53,女,会员
CUST_393684,蚌埠市,38,女,会员
CUST_336572,邵阳市,33,男,会员
CUST_547672,来宾市,46,男,普通
CUST_990057,基隆市,35,女,会员
CUST_316544,漳州市,60,男,会员
CUST_326084,海西蒙古族藏族自治州,43,男,普通
CUST_503633,东方市,30,男,会员
CUST_105754,丹东市,36,男,普通
CUST_766526,郑州市,39,女,普通
CUST_408417,苏州市,36,,普通
CUST_380381,信阳市,38,女,普通
CUST_933046,黔西南布依族苗族自治州,66,女,会员
CUST_139288,铜仁市,28,女,会员
CUST_418188,鞍山市,34,男,普通
CUST_706287,南区,47,女,会员
CUST_507793,赤峰市,46,女,会员
CUST_135423,来宾市,31,女,会员
CUST_741707,青浦区,43,女,会员
CUST_918379,西双版纳傣族自治州,29,男,普通
CUST_235892,银川市,38,男,普通
CUST_796974,随州市,43,男,会员
CUST_749294,海西蒙古族藏族自治州,54,女,普通
CUST_690549,阜新市,37,男,会员
CUST_591617,儋州市,66,女,会员
CUST_321778,铜梁区,40,女,会员
CUST_373512,陇南市,32,男,会员
CUST_692497,赤峰市,22,女,普通
CUST_441040,莆田市,42,女,普通
CUST_603813,福州市,35,女,普通
CUST_804630,林芝市,46,女,普通
CUST_295916,保定市,46,女,普通
CUST_664229,白沙黎族自治县,47,男,会员
CUST_551325,北区,46,男,会员
CUST_216937,吐鲁番市,47,女,会员
CUST_162479,商丘市,52,男,普通
CUST_314125,通化市,53,男,普通
CUST_854414,琼中黎族苗族自治县,60,女,会员
CUST_648483,海北藏族自治州,41,女,会员
CUST_363926,凉山彝族自治州,35,男,普通
CUST_393568,邯郸市,34,女,会员
CUST_884663,晋城市,31,男,普通
CUST_352228,南充市,36,男,会员
CUST_449142,菏泽市,40,男,会员
CUST_760216,黔西南布依族苗族自治州,44,男,普通
CUST_934806,安康市,31,女,普通
CUST_665461,梅州市,65,女,普通
CUST_245552,上饶市,25,女,普通
CUST_815195,湘潭市,32,男,普通
CUST_238181,黔南布依族苗族自治州,26,男,会员
CUST_451404,观塘区,51,女,会员
CUST_789498,津南区,36,男,普通
CUST_404660,荃湾区,35,女,会员
CUST_837570,眉山市,7,女,会员
CUST_301835,日喀则市,29,男,会员
CUST_714816,洛阳市,27,女,普通
CUST_285778,呼伦贝尔市,36,男,会员
CUST_338848,延边朝鲜族自治州,52,女,普通
CUST_618893,梅州市,45,女,普通
CUST_206251,绵阳市,38,男,会员
CUST_750207,宁德市,51,女,普通
CUST_322036,达州市,7,男,普通
CUST_186030,廊坊市,33,女,普通
CUST_771846,呼伦贝尔市,45,男,会员
CUST_940483,济宁市,49,女,会员
CUST_181423,葵青区,19,男,普通
CUST_592121,鞍山市,35,男,普通
CUST_624103,贺州市,37,男,普通
CUST_822592,北区,47,男,普通
CUST_232904,西安市,17,男,普通
CUST_147719,西城区,40,男,会员
CUST_914471,双鸭山市,21,男,会员
CUST_998312,辽源市,22,女,会员
CUST_600200,通辽市,37,男,会员
CUST_552500,南平市,48,女,会员
CUST_426549,汉中市,51,男,普通
CUST_427238,万州区,41,男,会员
CUST_435280,商洛市,32,女,会员
CUST_202717,海口市,30,男,会员
CUST_792784,东区,50,男,普通
CUST_834119,烟台市,24,女,普通
CUST_964997,马鞍山市,30,男,普通
CUST_185086,吉安市,58,男,会员
CUST_982794,未知,37,男,普通
CUST_930194,佳木斯市,46,女,会员
CUST_143681,漯河市,31,女,会员
CUST_568345,德州市,34,男,会员
CUST_534155,望德堂区,43,女,会员
CUST_919266,高雄市,34,女,会员
CUST_299125,那曲市,55,男,普通
CUST_134735,博尔塔拉蒙古自治州,50,女,普通
CUST_738342,湘潭市,133,男,普通
CUST_568730,安顺市,44,女,普通
CUST_811374,佳木斯市,21,男,普通
CUST_497615,吐鲁番市,40,男,会员
CUST_983985,乐山市,49,女,会员
CUST_418071,淄博市,43,女,普通
CUST_546880,中西区,40,男,会员
CUST_166976,成都市,31,女,普通
CUST_553382,泰州市,36,女,普通
CUST_571410,未知,50,女,会员
CUST_639587,金华市,44,女,普通
CUST_332056,牡丹江市,21,女,普通
CUST_597964,白山市,47,女,会员
CUST_447734,德宏傣族景颇族自治州,54,女,会员
CUST_450184,玉林市,52,男,会员
CUST_917610,海口市,31,男,会员
CUST_192389,朔州市,35,男,会员
CUST_613157,铜川市,41,女,会员
CUST_246649,临沧市,25,男,会员
CUST_995400,济宁市,22,男,普通
CUST_782775,晋城市,49,女,普通
CUST_492872,静海区,48,女,普通
CUST_785822,潼南区,53,男,普通
CUST_173579,怀化市,37,男,普通
CUST_810416,清远市,69,男,普通
CUST_897166,渝北区,30,女,普通
CUST_801099,宜春市,13,男,普通
CUST_106542,西城区,56,男,普通
CUST_657992,贺州市,7,女,会员
CUST_910792,大埔区,45,女,会员
CUST_243858,株洲市,37,男,普通
CUST_995801,益阳市,32,女,会员
CUST_345897,池州市,41,女,普通
CUST_333008,信阳市,37,女,会员
CUST_791318,乐山市,29,女,普通
CUST_806651,普陀区,33,女,普通
CUST_182665,鹰潭市,16,女,会员
CUST_868038,观塘区,56,女,会员
CUST_785952,金山区,50,男,会员
CUST_216650,乌鲁木齐市,52,,会员
CUST_858884,昌吉回族自治州,52,女,会员
CUST_738110,鄂尔多斯市,48,女,普通
CUST_949926,花地玛堂区,36,男,会员
CUST_909230,基隆市,31,女,普通
CUST_598511,琼海市,27,男,普通
CUST_368851,伊犁哈萨克自治州,50,男,普通
CUST_218928,内江市,49,女,会员
CUST_639105,儋州市,29,男,会员
CUST_638390,连云港市,41,男,普通
CUST_699655,西城区,37,女,会员
CUST_349705,辽源市,45,女,会员
CUST_843158,宝山区,39,女,会员
CUST_793868,日喀则市,39,女,普通
CUST_865124,渝中区,33,男,普通
CUST_326099,石嘴山市,41,女,普通
CUST_359957,湖州市,44,男,普通
CUST_548375,乐东黎族自治县,38,女,会员
CUST_234223,黔西南布依族苗族自治州,56,男,会员
CUST_954823,阜新市,34,男,会员
CUST_665057,红河哈尼族彝族自治州,42,女,会员
CUST_183119,深水埗区,38,男,会员
CUST_227583,儋州市,54,男,普通
CUST_595804,观塘区,30,男,普通
CUST_129686,襄阳市,33,男,普通
CUST_241458,风顺堂区,37,男,会员
CUST_867658,莆田市,50,女,会员
CUST_514752,汉中市,38,男,会员
CUST_224457,昌江黎族自治县,19,女,普通
CUST_262639,岳阳市,37,男,会员
CUST_886994,延边朝鲜族自治州,39,男,普通
CUST_520501,丽江市,44,女,会员
CUST_348962,三沙市,44,女,普通
CUST_925523,琼中黎族苗族自治县,22,男,会员
CUST_736601,运城市,49,女,会员
CUST_424921,宜宾市,51,男,会员
CUST_797086,未知,45,男,会员
CUST_948764,白城市,58,男,普通
CUST_684873,永州市,39,男,会员
CUST_406061,文昌市,43,男,普通
CUST_316181,丰台区,33,女,普通
CUST_107748,桃园市,133,女,普通
CUST_918007,门头沟区,7,女,普通
CUST_678925,曲靖市,30,男,普通
CUST_616592,渭南市,58,男,普通
CUST_470969,奉贤区,49,男,普通
CUST_828624,台中市,46,女,会员
CUST_212365,洛阳市,51,女,普通
CUST_893009,朝阳区,54,男,会员
CUST_229671,兴安盟,40,女,会员
CUST_667388,南区,37,男,普通
CUST_485323,望德堂区,48,男,会员
